ph,Hardness,Organic_carbon,Conductivity,Turbidity,Potability
9.158445163,186.672973,12.18263888,425.7520176,4.525236731,1
8.966835973,228.6913547,12.59999831,456.4264885,3.654354962,0
6.433726195,176.857122,21.31960739,505.1220153,3.117918258,0
3.344588533,156.4799268,16.98060997,485.6311478,2.575141031,0
5.530055021,207.9982202,18.81308046,427.6643022,3.327472139,1
7.721078494,208.4385926,11.75734824,269.0136348,3.22395109,1
8.576739928,221.1502583,15.95213165,389.2927845,3.916114733,0
8.512780909,157.6669175,13.30939096,377.6189451,4.026622094,1
6.883015402,210.5022172,15.95833351,570.4242586,4.102291769,0
6.283678795,205.3766238,18.02715973,471.904032,4.48077131,0
7.476689512,162.0087031,14.99374006,401.2348152,4.195539286,1
5.654118943,171.7515509,11.81485238,419.0973061,3.466264458,1
8.397248096,199.4958113,17.23604716,402.4649056,2.835794284,0
10.25281623,218.2797001,19.44259882,336.1988372,4.559836219,1
5.422445768,205.2660804,10.50402321,382.0801288,2.91175139,1
6.707108206,211.0865029,18.78167888,406.198555,2.640246413,1
8.59639118,189.5231608,17.35807147,348.0414889,3.519884366,1
6.629993518,209.1570219,20.75175131,524.8833294,3.155213653,0
6.848805453,204.8127108,12.29875322,389.6382279,3.130044763,0
6.385470898,231.4884577,16.56311638,422.0677005,4.681716653,0
7.104594899,201.6271172,8.582461166,348.7329371,4.763057991,0
7.26354507,160.4430648,12.81483552,478.5150812,3.950529737,1
6.729829904,229.4077836,13.14044719,521.8355248,4.724321913,0
7.074251444,208.9203689,8.881999344,518.977153,4.878944116,1
6.578680569,203.4088155,12.09791988,547.7021369,4.292042179,1
5.938321179,214.4695748,17.47759799,626.1287371,3.88950004,1
8.005016372,187.2305346,13.97201408,437.3255073,5.288776597,0
6.692531669,200.4043509,12.48525699,376.6727942,2.942115367,1
9.085637102,238.221968,19.19574006,381.3465821,2.544020276,0
5.80897552,157.5522384,17.40103888,377.6972828,3.599933102,1
7.041665417,178.2857485,11.55709678,388.339277,3.099746163,1
6.977267852,223.2788913,14.0462775,377.000392,2.367041309,1
6.904121373,228.9604179,12.70446004,513.1888415,4.141819203,0
7.372611796,220.3871636,14.82644147,551.1452068,3.182521119,1
6.941278904,180.817722,20.30233655,480.8785436,4.178959772,1
6.869638941,251.2934475,12.99414,539.4668769,4.726702454,1
5.214009194,192.6488463,15.86775076,380.4284147,4.453525556,0
5.039406776,194.4041705,10.728669,515.8071822,3.1269559,0
6.660212026,168.2837469,17.88423519,523.6712975,3.749701241,0
7.291888325,127.5442971,17.28504169,439.6493286,5.328712788,1
7.436537227,167.3284655,14.82443288,398.5742148,4.497629168,0
7.748928548,198.8430942,9.984033412,368.4028571,3.136945007,0
7.507575296,172.5040208,10.67825495,377.0751326,3.703001047,0
6.448191032,181.5898853,13.93942471,353.6042916,3.932210321,0
8.27579563,163.3559608,20.05761944,351.631315,4.72133955,1
6.901710203,173.1539151,10.40197297,538.620787,3.035670597,0
6.102306794,205.999038,15.49239696,380.3050047,4.280766478,1
9.961247709,220.038186,14.7925852,398.6809356,3.246583097,1
6.980727164,200.4672256,9.06690217,422.4895962,5.437618577,0
9.54025224,224.0545823,19.09359914,493.836379,3.329503899,1
7.089184187,179.0458381,12.62310429,571.5755053,3.266028512,1
6.967861397,183.9334762,14.5842314,433.2394286,4.893215273,1
3.795132905,178.4329195,12.35003809,365.4916792,3.185083168,0
8.014183072,244.1200978,22.64159793,309.9304282,3.417076199,1
7.108140711,148.6246065,17.21857543,259.9637626,4.015246444,1
10.00330054,143.0942854,16.96330978,574.5550413,4.746381859,1
7.114386719,196.5339601,18.70427854,497.5236046,3.762682466,0
8.520806573,238.3351125,6.016336609,481.3188027,3.94060453,0
5.368988344,250.660916,15.68436202,334.8199544,3.73788278,0
6.769834881,177.173258,17.26807363,389.5162861,3.655789569,1
7.437216653,242.7299686,10.26277763,413.655951,3.866874573,0
7.976900874,234.7793796,14.19127381,613.6335477,4.753607931,1
